size,mmult,mmultO3,mmult_simd,mmult_simdO3 
359,0.375628,0.092518,0.309336,0.032812
360,0.335462,0.077370,0.281882,0.032071
361,0.379438,0.094446,0.284332,0.032970
362,0.387211,0.085561,0.302828,0.034027
363,0.390458,0.096578,0.296945,0.033868
364,0.354210,0.097054,0.293652,0.033529
365,0.401659,0.097480,0.315331,0.034457
366,0.406537,0.092541,0.315204,0.034012
367,0.396990,0.098319,0.300268,0.035262
368,0.395935,0.099387,0.301778,0.034258
369,0.407111,0.100851,0.304838,0.035555
370,0.423672,0.091403,0.307709,0.035144
371,0.418515,0.103320,0.326491,0.036408
372,0.377184,0.086216,0.312494,0.035820
373,0.417006,0.104366,0.315721,0.036935
374,0.424133,0.093667,0.316828,0.036047
375,0.454983,0.106805,0.319863,0.037222
376,0.373355,0.087837,0.322504,0.036572
377,0.434606,0.108193,0.345250,0.038056
378,0.439874,0.098577,0.331302,0.039701
379,0.442948,0.109909,0.329928,0.038078
380,0.403803,0.092240,0.353130,0.037649
381,0.455087,0.110072,0.335476,0.038982
382,0.452065,0.117972,0.337922,0.038145
383,0.453406,0.112231,0.339118,0.039224
384,0.626801,0.168085,0.343095,0.038274
385,0.467592,0.123755,0.346338,0.040491
386,0.483702,0.107840,0.348769,0.039392
387,0.474712,0.118025,0.361340,0.040948
388,0.431054,0.111800,0.354480,0.040327
389,0.479968,0.118834,0.357188,0.041169
390,0.494185,0.110180,0.359267,0.040587
391,0.497533,0.120159,0.363046,0.042142
392,0.423078,0.111843,0.391631,0.043209
393,0.490170,0.121600,0.369367,0.043150
394,0.547325,0.118548,0.371383,0.041640
395,0.513207,0.130697,0.372420,0.043227
396,0.457773,0.104617,0.376383,0.042502
397,0.538426,0.128249,0.381893,0.044439
398,0.550652,0.119523,0.382901,0.043605
399,0.525160,0.129125,0.414213,0.044609
400,0.495622,0.127377,0.389004,0.043952
401,0.522703,0.139257,0.401544,0.045017
402,0.530177,0.116926,0.392897,0.044175
403,0.557262,0.131149,0.425069,0.046446
404,0.505848,0.111203,0.431627,0.045414
405,0.550635,0.132049,0.402276,0.046455
406,0.574477,0.124274,0.411721,0.047071
407,0.579650,0.146541,0.420101,0.048437
408,0.486326,0.111064,0.410419,0.046242
409,0.589764,0.140929,0.426370,0.047825
410,0.617564,0.131027,0.416445,0.047259
411,0.588002,0.140359,0.423478,0.049169
412,0.529913,0.118150,0.423443,0.048284
413,0.572690,0.142533,0.448966,0.051092
414,0.610534,0.131258,0.429955,0.048506
415,0.616103,0.149864,0.438901,0.050291
416,0.565235,0.148900,0.437037,0.049205
417,0.589380,0.146565,0.437680,0.050438
418,0.598411,0.133803,0.442179,0.049912
419,0.634459,0.163266,0.448427,0.051912
420,0.570350,0.125618,0.455619,0.050569
421,0.632806,0.160745,0.574358,0.052571
422,0.626199,0.149846,0.454249,0.051317
423,0.702317,0.252197,0.491296,0.058802
424,0.543844,0.127471,0.478190,0.054480
425,0.668632,0.256595,0.508160,0.054277
426,0.669264,0.146627,0.494957,0.052650
427,0.836187,0.168924,0.471428,0.054379
428,0.615026,0.133237,0.504699,0.083009
429,0.780518,0.170428,0.481913,0.056882
430,0.692065,0.154866,0.618287,0.054204
431,0.683502,0.165824,0.484821,0.055511
432,0.660993,0.215110,0.491335,0.057431
433,0.680119,0.169682,0.493108,0.057083
434,0.799261,0.151869,0.496262,0.056139
435,0.682143,0.170789,0.599514,0.057672
436,0.627561,0.141941,0.440155,0.050207
437,0.662814,0.174991,0.499429,0.049339
438,0.583807,0.126348,0.584916,0.069026
439,0.652948,0.150023,0.503432,0.059192
440,0.600526,0.140990,0.516269,0.058490
441,0.713942,0.175691,0.516229,0.059616
442,0.836731,0.161662,0.449227,0.051506
443,0.599220,0.154917,0.445201,0.048392
444,0.578117,0.128820,0.454990,0.051136
445,0.638559,0.156061,0.460115,0.052871
446,0.642254,0.146230,0.454251,0.050705
447,0.614868,0.155255,0.456754,0.052256
448,0.794141,0.200291,0.464704,0.052751
449,0.706437,0.157424,0.470841,0.054745
450,0.653484,0.149710,0.467613,0.054032
451,0.683306,0.182719,0.484357,0.056066
452,0.657010,0.145313,0.477215,0.052478
453,0.866582,0.171119,0.484121,0.055560
454,0.710349,0.166435,0.479022,0.054417
455,0.670471,0.164220,0.479317,0.057391
456,0.593587,0.138454,0.483026,0.057252
457,0.707209,0.179887,0.553602,0.065932
458,0.717310,0.160471,0.501386,0.057301
459,0.688384,0.168290,0.496479,0.057762
460,0.633496,0.150312,0.487255,0.053928
461,0.707172,0.184350,0.496281,0.057111
462,0.700690,0.160497,0.506375,0.057055
463,0.713653,0.181697,0.513209,0.060815
464,0.683680,0.175977,0.520417,0.058693
465,0.717634,0.185049,0.583868,0.070530
466,0.762019,0.174891,0.601783,0.068769
467,0.850267,0.210562,0.537773,0.062072
468,0.685788,0.189836,0.614838,0.069375
469,0.854038,0.221156,0.618707,0.069313
470,0.866218,0.201976,0.569966,0.058562
471,0.725690,0.184571,0.542522,0.061961
472,0.665397,0.163196,0.534658,0.060204
473,0.738659,0.192785,0.549603,0.062598
474,0.782517,0.178708,0.568408,0.062585
475,0.766844,0.192449,0.543667,0.064098
476,0.731610,0.174873,0.547689,0.062943
477,0.787366,0.204763,0.550551,0.062578
478,0.797816,0.201873,0.559367,0.063497
479,0.820555,0.205002,0.561295,0.063234
480,0.763687,0.211573,0.561038,0.060451
481,0.797157,0.240331,0.642694,0.077337
482,0.969282,0.218421,0.656849,0.076225
483,0.904722,0.203294,0.569874,0.067403
484,0.762984,0.188075,0.573751,0.065032
485,0.806095,0.232965,0.645603,0.069446
486,0.871324,0.204459,0.655956,0.067101
487,0.835020,0.216039,0.593113,0.069536
488,0.870981,0.225720,0.703351,0.079830
489,0.942254,0.258398,0.701332,0.080862
490,0.936852,0.213281,0.607558,0.068560
491,0.961581,0.227213,0.671106,0.081990
492,0.946620,0.239924,0.717975,0.080407
493,0.937829,0.219463,0.625675,0.072900
494,0.913814,0.210539,0.595910,0.067853
495,0.892739,0.242860,0.629913,0.071733
496,0.912069,0.245870,0.731688,0.078193
497,0.996494,0.235943,0.625733,0.069872
498,0.887759,0.212818,0.635075,0.074292
499,0.947109,0.279512,0.671231,0.086261
500,0.889940,0.271203,0.748444,0.084488
501,1.116540,0.281006,0.760840,0.102140
502,1.161013,0.274539,0.811378,0.090744
503,1.105774,0.289072,0.768912,0.088397
504,1.016912,0.283783,0.787022,0.087520
505,1.148968,0.293519,0.778965,0.092815
506,1.135170,0.222138,0.623046,0.094053
507,1.171108,0.292014,0.785703,0.092203
508,1.112918,0.271746,0.818570,0.089490
509,1.140538,0.287625,0.717507,0.077590
510,1.023142,0.275587,0.690807,0.074090
511,1.075540,0.291057,0.820641,0.093426
512,1.577665,0.504145,0.810510,0.076819
513,0.997165,0.249661,0.667910,0.072889
514,1.013989,0.268883,0.684667,0.075837
515,1.040120,0.319131,0.707179,0.080819
516,1.033194,0.329218,0.721268,0.092886
517,1.357175,0.446780,0.832504,0.101109
518,1.384349,0.503269,0.841522,0.094969
519,1.422546,0.538977,0.693363,0.078982
520,1.138405,0.487428,0.718620,0.095093
521,1.494905,0.672742,0.885491,0.097772
522,1.484788,0.720196,0.884502,0.096515
523,1.570380,0.746175,0.869850,0.098733
524,1.460861,0.787955,0.892526,0.097275
525,1.551700,0.826437,0.890047,0.100712
526,1.610564,0.861949,0.879296,0.099361
527,1.613231,0.883735,0.882064,0.100795
528,1.514114,0.921257,0.885837,0.103926
529,1.669173,0.963866,0.897447,0.104158
530,1.722238,0.991643,0.927973,0.099988
531,1.727111,1.038187,0.927557,0.103505
532,1.691829,1.059420,0.924080,0.101069
533,1.794347,1.104247,0.921697,0.105379
534,1.816588,1.140272,0.932903,0.103660
535,1.931155,1.312107,0.933562,0.106489
536,1.768776,1.164819,0.817159,0.104080
537,1.934820,1.285469,0.932750,0.106864
538,1.990191,1.828655,0.944385,0.105276
539,1.899979,1.345882,0.971408,0.109391
540,1.884535,1.321838,0.972216,0.107739
541,1.977939,1.401783,0.977234,0.108686
542,2.032604,1.431922,0.968785,0.113335
543,2.018360,1.448711,0.998603,0.110794
544,2.037641,1.406152,0.972769,0.109286
545,2.101461,1.606575,0.981179,0.114425
546,2.275925,1.521769,0.806488,0.090129
547,1.887536,1.529289,0.991226,0.113516
548,2.023175,1.567628,0.995769,0.112913
549,2.150737,1.638385,0.996589,0.113714
550,2.093117,1.655040,1.037886,0.112545
551,2.338930,1.605912,1.005922,0.115495
552,2.154673,1.710563,1.022861,0.113097
553,2.611404,2.212232,1.067330,0.172265
554,2.287233,1.851748,1.026323,0.110658
555,2.341094,1.843306,1.027923,0.114246
556,2.256822,1.736785,1.053543,0.113553
557,2.611901,2.155692,1.075159,0.116172
558,2.355137,1.765791,1.047536,0.114423
559,2.337335,1.798689,0.923405,0.102844
560,2.159187,2.051281,0.969638,0.097669
561,1.994779,1.555581,1.124901,0.137292
562,2.274571,1.831571,1.085216,0.118919
563,2.244724,1.833427,1.099502,0.123291
564,2.265347,1.872447,1.102528,0.120515
565,3.086190,2.887337,1.102889,0.140981
566,2.315393,1.873775,0.975144,0.107956
567,1.977037,1.679330,0.979465,0.112232
568,2.090724,1.619831,0.926974,0.108139
569,2.030231,1.660683,0.927856,0.108972
570,2.576850,2.634196,1.071423,0.123150
571,2.287739,1.865382,1.083938,0.127972
572,2.262044,1.748050,1.032901,0.108273
573,2.048784,1.722811,0.957593,0.109292
574,2.045710,1.709186,0.965857,0.108187
575,2.810713,3.162407,1.223683,0.131349
576,2.847452,2.063579,1.181130,0.129680
577,2.578322,2.078700,1.161095,0.132996
578,2.573362,2.059769,1.176377,0.132570
579,2.569026,2.085645,1.188427,0.134405
580,3.474248,3.476514,1.220003,0.133984
581,2.605226,2.124730,1.204518,0.135390
582,2.625330,2.134812,1.214234,0.133298
583,2.619718,2.252692,1.189651,0.135934
584,2.646413,2.216667,1.221476,0.133382
585,3.041777,2.919247,1.112511,0.116839
586,2.408394,2.104035,1.147522,0.121523
587,2.644103,2.193854,1.127116,0.142448
588,2.604992,2.252504,1.114812,0.132520
589,2.449200,2.023045,1.058453,0.126150
590,2.654044,2.696243,1.280315,0.138647
591,3.122293,2.590358,1.298159,0.139665
592,2.876562,2.500959,1.264081,0.137242
593,3.254373,3.079240,1.306112,0.140718
594,2.968282,2.810884,1.292736,0.138262
595,3.210860,2.617656,1.269843,0.164027
596,3.316469,2.755405,1.068458,0.134553
597,2.789153,2.663164,1.338701,0.144096
598,3.105415,2.459170,1.307558,0.140817
599,3.165858,2.645243,1.316464,0.146548
600,3.155794,2.485446,1.055369,0.150200
601,3.659579,3.464230,1.446077,0.150188
602,3.431430,2.826909,1.412478,0.121472
603,3.307858,2.968249,1.327273,0.149550
604,3.510155,2.944852,1.300957,0.120374
605,3.016549,2.830108,1.240310,0.168530
606,3.501811,3.105205,1.337120,0.163703
607,3.858648,3.548328,1.241709,0.124087
608,3.249927,3.001956,1.407192,0.153890
609,3.477235,2.319881,1.399221,0.151920
610,3.305710,2.696563,1.165932,0.128021
611,3.232126,3.025340,1.406566,0.156449
612,3.454395,2.930574,1.396443,0.154520
613,3.452911,2.621518,1.405335,0.157267
614,3.517851,3.216993,1.392679,0.155150
615,3.589110,3.366569,1.441312,0.159213
616,3.698849,3.421522,1.406449,0.157517
617,3.676823,3.425435,1.438256,0.165877
618,3.700806,3.559527,1.439579,0.161583
619,3.644166,3.343731,1.441681,0.165155
620,3.706990,3.500782,1.437757,0.159418
621,3.048143,3.297077,1.458740,0.186629
622,3.675884,3.480428,1.504203,0.161722
623,3.960426,3.763211,1.456088,0.165932
624,3.833021,3.626527,1.363276,0.167193
625,3.929567,3.790918,1.475917,0.170066
626,3.079192,2.535445,1.488994,0.164616
627,3.065322,2.510831,1.501840,0.172889
628,3.049837,2.518291,1.523559,0.172087
629,3.094806,2.505950,1.504436,0.164830
630,3.188467,2.538481,1.552887,0.164911
631,2.847783,2.451289,1.569707,0.186946
632,3.033976,2.483198,1.236959,0.135036
633,2.554496,2.172755,1.299943,0.138218
634,2.964496,2.561735,1.530668,0.165535
635,3.046778,2.563445,1.575160,0.179815
636,3.115079,2.562196,1.545983,0.168277
637,2.702678,2.505506,1.331304,0.148254
638,1.804102,0.422917,1.338884,0.142239
639,2.727255,2.293736,1.504353,0.155816
640,3.205256,2.412516,1.459864,0.139739
641,2.033436,0.469930,1.374404,0.168479
642,2.832831,2.305767,1.496319,0.150280
643,1.998679,0.505762,1.357276,0.151221
644,1.930044,0.425469,1.420213,0.154969
645,2.319499,0.502645,1.350318,0.151390
646,1.952319,0.477812,1.605618,0.171950
647,2.170243,0.507220,1.410301,0.153883
648,1.682571,0.404112,1.388223,0.150549
649,1.935000,0.531910,1.411137,0.156997
650,2.079165,0.420424,1.384140,0.146878
651,2.215692,0.561407,1.489934,0.157964
652,2.055524,0.509634,1.592153,0.155871
653,3.232475,2.281373,1.547261,0.181870
654,2.987228,2.268785,1.582505,0.157586
655,2.971372,2.566531,1.433994,0.170838
656,2.752203,2.290008,1.528727,0.158247
657,2.022313,0.526884,1.469540,0.193750
658,3.107446,2.299854,1.627723,0.169062
659,2.050947,0.502450,1.542441,0.194591
660,3.007302,2.241664,1.664816,0.183089
661,3.264341,2.477883,1.430342,0.154782
662,2.092774,0.471729,1.461649,0.155013
663,2.912873,2.291495,1.465979,0.158998
664,1.892787,0.523273,1.693125,0.187584
665,2.378682,0.607851,1.700220,0.197393
666,2.114521,0.488813,1.501468,0.157886
667,2.111635,0.596572,1.523072,0.167545
668,3.121696,2.397353,1.540826,0.163251
669,2.088824,0.526010,1.540157,0.166071
670,2.133299,0.485728,1.557474,0.165530
671,2.123734,0.547740,1.643160,0.170931
672,2.290706,0.570205,1.518972,0.167022
673,2.133797,0.535609,1.502141,0.174569
674,2.184731,0.504841,1.566266,0.171612
675,3.067568,2.484169,1.637380,0.177165
676,3.136347,2.701495,1.773741,0.169898
677,2.237022,0.605476,1.670201,0.179632
678,2.284112,0.504149,1.657617,0.188345
679,2.321677,0.597992,1.594661,0.175704
680,2.042171,0.527244,1.601108,0.172678
681,2.223901,0.548966,1.568646,0.175949
682,2.175657,0.496441,1.618496,0.176204
683,2.295169,0.636947,1.703079,0.179295
684,3.285203,2.346787,1.592390,0.179005
685,2.476130,0.676110,1.837456,0.193660
686,2.369876,0.526184,1.686923,0.180220
687,2.302486,0.579145,1.710482,0.181140
688,3.076235,2.399968,1.772854,0.182447
689,3.454062,2.463798,1.660673,0.191457
690,2.316618,0.530203,1.751180,0.172529
691,2.324687,0.578370,1.691798,0.192248
692,3.543203,2.436107,1.698974,0.180280
693,2.325445,0.580087,1.707161,0.187333
694,3.343291,2.466383,1.702031,0.190965
695,2.391660,0.646583,1.878066,0.195261
696,2.313595,0.523446,1.899782,0.229707
697,2.639802,0.615499,1.877612,0.217772
698,2.626428,0.563436,1.756055,0.188236
699,2.612914,0.757920,1.742457,0.235226
700,2.307694,0.649063,1.760849,0.190838
701,2.476952,0.623254,1.939485,0.195192
702,2.493697,0.563414,1.757895,0.187985
703,3.535072,2.830922,1.767142,0.200142
704,3.308558,0.836981,1.812877,0.191858
705,3.886500,2.668474,1.982064,0.199202
706,2.658512,0.579622,1.800811,0.196265
707,3.495831,2.503289,1.832297,0.204019
708,2.343305,0.592395,1.866542,0.199969
709,3.571868,2.630483,1.797577,0.195064
710,2.514110,0.577784,1.773453,0.189174
711,2.555845,0.746402,1.880236,0.207973
712,2.288430,0.540851,1.821471,0.196184
713,2.561298,0.627856,1.811744,0.197955
714,2.625197,0.658900,2.057426,0.197940
715,2.597177,0.639999,1.898468,0.198350
716,3.463693,2.690752,1.858600,0.209276
717,2.638494,0.654343,1.872645,0.210922
718,3.875257,2.865310,1.892408,0.205459
719,2.731962,0.670936,1.951919,0.232377
720,3.561748,2.663706,1.912876,0.209202
721,2.856698,0.710829,2.241584,0.223157
722,6.451639,6.216715,1.964071,0.213913
723,2.652157,0.672803,2.080621,0.228292
724,2.515190,0.592613,1.964366,0.214087
725,2.789661,0.697512,1.977603,0.214838
726,2.825406,0.629861,2.137727,0.212754
727,2.879218,0.810827,2.149604,0.241696
728,3.820281,2.895603,2.041358,0.242367
729,2.925603,0.867999,2.064773,0.216599
730,2.714363,0.719238,2.038565,0.221211
731,2.748688,0.697661,1.972157,0.226515
